BookingCode;BookingDate;FlightDate;FlightNumber;BookedSeats;RevenueActualFare;Ancillary Revenue,,
PNR0065;15.03.2022 00:00;11.04.2023;EW8591;1;250;39,,
PNR0066;15.03.2022 00:00;12.04.2023;EW7515;1;220;42,,
PNR0067;15.03.2022 00:00;09.04.2023;EW7520;1;180;24,,
PNR0068;16.03.2022 00:00;08.04.2023;EW2529;1;125;36,,
PNR0069;17.03.2022 00:00;11.04.2023;EW521;4;522;164,,
PNR0070;20.03.2022 00:00;10.04.2023;EW9595;2;700;80,,
PNR0071;20.03.2022 00:00;11.04.2023;EW9538;3;300;96,,
PNR0072;26.03.2022 00:00;09.04.2023;EW7520;3;468;138,,
PNR0073;27.03.2022 00:00;09.04.2023;EW527;1;125;33,,
PNR0074;28.03.2022 00:00;10.04.2023;EW268;3;290;252,,
PNR0075;28.03.2022 00:00;10.04.2023;EW9440;2;260;20,,
PNR0076;29.03.2022 00:00;11.04.2023;EW7530;1;105;44,,
PNR0077;29.03.2022 00:00;11.04.2023;EW7530;1;105;41,,
PNR0078;01.04.2022 00:00;07.04.2023;EW7582;2;300;80,,
PNR0078;01.04.2022 00:00;12.04.2023;EW7583;2;220;81,,
PNR0079;02.04.2022 00:00;07.04.2023;EW9594;2;290;94,,
PNR0080;03.04.2022 00:00;10.04.2023;EW7587;6;946;206,,
PNR0081;03.04.2022 00:00;06.04.2023;EW7592;4;1273;133,,
PNR0082;04.04.2022 00:00;06.04.2023;EW9552;1;290;45,,
PNR0083;08.04.2022 00:00;06.04.2023;EW6898;3;588;100,,
PNR0084;08.04.2022 00:00;06.04.2023;EW6898;1;210;81,,
PNR0085;10.04.2022 00:00;08.04.2023;EW587;3;812;112,,
PNR0086;10.04.2022 00:00;10.04.2023;EW2528;2;210;12,,
PNR0087;12.04.2022 00:00;12.04.2023;EW9574;2;500;102,,
PNR0088;12.04.2022 00:00;07.04.2023;EW9578;1;145;37,,
PNR0088;12.04.2022 00:00;10.04.2023;EW9581;1;210;37,,
PNR0089;12.04.2022 00:00;07.04.2023;EW9578;1;145;98,,
PNR0089;12.04.2022 00:00;10.04.2023;EW9581;1;210;98,,
PNR0090;14.04.2022 00:00;08.04.2023;EW9530;1;170;46,,
PNR0091;15.04.2022 00:00;09.04.2023;EW2535;2;520;80,,
PNR0092;19.04.2022 00:00;06.04.2023;EW8591;2;290;76,,
PNR0093;19.04.2022 00:00;06.04.2023;EW2262;1;380;212,,
PNR0094;21.04.2022 00:00;07.04.2023;EW7582;3;602;66,,
PNR0095;21.04.2022 00:00;09.04.2023;EW7593;1;185;57,,
PNR0096;24.04.2022 00:00;06.04.2023;EW582;2;420;102,,
PNR0097;25.04.2022 00:00;09.04.2023;EW7593;2;387;66,,
PNR0098;27.04.2022 00:00;09.04.2023;EW9537;1;125;64,,
PNR0099;28.04.2022 00:00;07.04.2023;EW8291;4;629;165,,
PNR0100;28.04.2022 00:00;12.04.2023;EW9530;2;220;88,,
PNR0101;30.04.2022 00:00;09.04.2023;EW9444;2;300;70,,
PNR0101;30.04.2022 00:00;10.04.2023;EW9443;2;730;70,,
PNR0102;04.05.2022 00:00;08.04.2023;EW9501;2;260;76,,
PNR0103;04.05.2022 00:00;07.04.2023;EW588;2;522;12,,
PNR0104;04.05.2022 00:00;12.04.2023;EW2535;3;270;175,,
PNR0105;06.05.2022 00:00;08.04.2023;EW9543;2;410;31,,
PNR0106;09.05.2022 00:00;12.04.2023;EW2531;2;180;78,,
PNR0107;16.05.2022 00:00;07.04.2023;EW9534;3;599;13,,
PNR0108;19.05.2022 00:00;06.04.2023;EW9578;1;175;42,,
PNR0109;20.05.2022 00:00;07.04.2023;EW9536;2;252;88,,
PNR0110;21.05.2022 00:00;06.04.2023;EW7592;1;130;36,,
PNR0111;23.05.2022 00:00;06.04.2023;EW6899;1;290;85,,
PNR0112;24.05.2022 00:00;08.04.2023;EW2581;2;290;46,,
PNR0113;25.05.2022 00:00;10.04.2023;EW580;3;525;153,,
PNR0114;27.05.2022 00:00;09.04.2023;EW9591;2;290;90,,
PNR0115;27.05.2022 00:00;12.04.2023;EW593;2;250;50,,
PNR0116;27.05.2022 00:00;12.04.2023;EW9445;1;55;38,,
PNR0117;01.06.2022 00:00;11.04.2023;EW9536;1;100;80,,
PNR0118;02.06.2022 00:00;07.04.2023;EW9552;2;490;60,,
PNR0118;02.06.2022 00:00;10.04.2023;EW9553;2;580;60,,
PNR0119;05.06.2022 00:00;09.04.2023;EW9547;4;1044;222,,
PNR0120;06.06.2022 00:00;12.04.2023;EW580;2;170;82,,
PNR0121;06.06.2022 00:00;09.04.2023;EW9519;1;130;40,,
PNR0122;09.06.2022 00:00;12.04.2023;EW581;3;350;45,,
PNR0123;13.06.2022 00:00;10.04.2023;EW7587;1;265;52,,
PNR0124;13.06.2022 00:00;10.04.2023;EW9588;2;150;82,,
PNR0125;13.06.2022 00:00;12.04.2023;EW2597;2;290;28,,
PNR0126;13.06.2022 00:00;07.04.2023;EW9534;2;280;102,,
PNR0127;16.06.2022 00:00;10.04.2023;EW581;2;500;102,,
PNR0128;16.06.2022 00:00;06.04.2023;EW596;1;26;10,,
PNR0129;16.06.2022 00:00;09.04.2023;EW598;1;210;70,,
PNR0130;17.06.2022 00:00;08.04.2023;EW9575;5;805;212,,
PNR0131;18.06.2022 00:00;09.04.2023;EW7591;1;215;74,,
PNR0132;18.06.2022 00:00;06.04.2023;EW534;2;330;20,,
PNR0133;19.06.2022 00:00;09.04.2023;EW858;1;110;64,,
PNR0134;21.06.2022 00:00;10.04.2023;EW2595;1;225;46,,
PNR0135;21.06.2022 00:00;06.04.2023;EW9574;1;290;29,,
PNR0135;21.06.2022 00:00;11.04.2023;EW9585;1;250;43,,
PNR0136;23.06.2022 00:00;12.04.2023;EW9551;5;1008;190,,
PNR0137;24.06.2022 00:00;06.04.2023;EW596;2;290;20,,
PNR0138;25.06.2022 00:00;08.04.2023;EW7526;2;250;16,,
PNR0139;27.06.2022 00:00;07.04.2023;EW9501;4;756;264,,
PNR0140;28.06.2022 00:00;08.04.2023;EW7540;1;205;44,,
PNR0141;29.06.2022 00:00;12.04.2023;EW9518;1;100;46,,
PNR0142;30.06.2022 00:00;12.04.2023;EW9531;3;602;172,,
PNR0143;01.07.2022 00:00;06.04.2023;EW9590;1;145;41,,
PNR0144;02.07.2022 00:00;10.04.2023;EW2594;2;220;82,,
PNR0145;05.07.2022 00:00;07.04.2023;EW9535;2;160;88,,
PNR0146;05.07.2022 00:00;12.04.2023;EW9570;1;85;15,,
PNR0147;08.07.2022 00:00;06.04.2023;EW2592;1;165;44,,
PNR0148;08.07.2022 00:00;10.04.2023;EW2516;2;140;92,,
PNR0149;10.07.2022 00:00;08.04.2023;EW2545;2;150;21,,
PNR0150;10.07.2022 00:00;06.04.2023;EW587;2;180;72,,
PNR0151;11.07.2022 00:00;09.04.2023;EW9532;1;315;13,,
PNR0152;15.07.2022 00:00;11.04.2023;EW7520;2;300;114,,
PNR0153;17.07.2022 00:00;10.04.2023;EW8590;1;85;12,,
PNR0154;20.07.2022 00:00;12.04.2023;EW9570;1;105;15,,
PNR0155;20.07.2022 00:00;12.04.2023;EW9570;1;105;15,,
PNR0156;22.07.2022 00:00;06.04.2023;EW8590;2;250;242,,
PNR0157;27.07.2022 00:00;12.04.2023;EW9594;3;290;243,,
PNR0158;28.07.2022 00:00;09.04.2023;EW9538;1;100;40,,
PNR0159;29.07.2022 00:00;11.04.2023;EW9443;2;300;22,,
PNR0160;30.07.2022 00:00;08.04.2023;EW9538;1;150;39,,
PNR0161;30.07.2022 00:00;10.04.2023;EW9538;2;530;106,,
PNR0162;31.07.2022 00:00;10.04.2023;EW593;1;210;42,,
PNR0163;01.08.2022 00:00;06.04.2023;EW7526;2;254;55,,
PNR0164;02.08.2022 00:00;10.04.2023;EW2591;3;400;221,,
PNR0165;02.08.2022 00:00;09.04.2023;EW9443;1;130;27,,
PNR0166;02.08.2022 00:00;06.04.2023;EW2520;1;260;26,,
PNR0166;02.08.2022 00:00;10.04.2023;EW2521;1;175;26,,
PNR0167;04.08.2022 00:00;11.04.2023;EW520;4;380;183,,
PNR0168;05.08.2022 00:00;10.04.2023;EW7590;6;1290;276,,
PNR0169;05.08.2022 00:00;06.04.2023;EW9554;1;175;45,,
PNR0170;05.08.2022 00:00;08.04.2023;EW7531;1;165;119,,
PNR0171;07.08.2022 00:00;12.04.2023;EW581;1;250;52,,
PNR0172;07.08.2022 00:00;11.04.2023;EW521;1;105;24,,
PNR0173;08.08.2022 00:00;09.04.2023;EW527;2;250;48,,
PNR0174;11.08.2022 00:00;07.04.2023;EW586;2;290;88,,
PNR0175;11.08.2022 00:00;12.04.2023;EW9542;2;250;52,,
PNR0176;13.08.2022 00:00;07.04.2023;EW9594;4;714;281,,
PNR0177;13.08.2022 00:00;07.04.2023;EW9594;1;210;132,,
PNR0178;14.08.2022 00:00;11.04.2023;EW9585;1;145;45,,
PNR0179;14.08.2022 00:00;08.04.2023;EW243;3;462;126,,
PNR0180;15.08.2022 00:00;10.04.2023;EW9576;1;65;55,,
PNR0181;17.08.2022 00:00;08.04.2023;EW9595;1;145;63,,
PNR0182;17.08.2022 00:00;06.04.2023;EW7526;5;635;86,,
PNR0183;18.08.2022 00:00;06.04.2023;EW534;1;165;67,,
PNR0184;19.08.2022 00:00;12.04.2023;EW9593;2;290;88,,
PNR0185;19.08.2022 00:00;12.04.2023;EW269;4;1160;188,,
PNR0186;21.08.2022 00:00;09.04.2023;EW9592;2;83;19,,
PNR0187;21.08.2022 00:00;10.04.2023;EW520;1;125;45,,
PNR0188;21.08.2022 00:00;10.04.2023;EW9519;4;337;29,,
PNR0189;21.08.2022 00:00;06.04.2023;EW9519;2;160;24,,
PNR0189;21.08.2022 00:00;09.04.2023;EW9518;2;180;24,,
PNR0190;21.08.2022 00:00;07.04.2023;EW9536;2;490;99,,
PNR0190;21.08.2022 00:00;10.04.2023;EW9535;2;490;86,,
PNR0191;21.08.2022 00:00;11.04.2023;EW9539;1;170;24,,
PNR0192;22.08.2022 00:00;09.04.2023;EW7515;2;360;76,,
PNR0193;22.08.2022 00:00;09.04.2023;EW2587;1;125;42,,
PNR0194;22.08.2022 00:00;11.04.2023;EW598;2;171;34,,
PNR0195;23.08.2022 00:00;07.04.2023;EW9530;2;210;48,,
PNR0196;23.08.2022 00:00;08.04.2023;EW9539;1;130;39,,
PNR0197;24.08.2022 00:00;11.04.2023;EW859;2;370;88,,
PNR0198;25.08.2022 00:00;06.04.2023;EW7536;2;500;86,,
PNR0199;26.08.2022 00:00;09.04.2023;EW9500;1;130;38,,
PNR0199;26.08.2022 00:00;12.04.2023;EW9551;1;180;38,,
PNR0200;27.08.2022 00:00;07.04.2023;EW581;1;125;56,,
PNR0201;27.08.2022 00:00;07.04.2023;EW581;1;125;55,,
PNR0202;27.08.2022 00:00;12.04.2023;EW2585;1;145;54,,
PNR0203;27.08.2022 00:00;07.04.2023;EW7584;2;300;138,,
PNR0204;27.08.2022 00:00;07.04.2023;EW581;1;125;55,,
PNR0205;27.08.2022 00:00;09.04.2023;EW9587;2;250;106,,
PNR0206;29.08.2022 00:00;07.04.2023;EW9578;2;290;82,,
PNR0207;29.08.2022 00:00;06.04.2023;EW2544;2;360;101,,
PNR0207;29.08.2022 00:00;10.04.2023;EW2595;2;300;101,,
PNR0208;29.08.2022 00:00;11.04.2023;EW9595;2;350;88,,
PNR0209;29.08.2022 00:00;11.04.2023;EW9574;1;65;15,,
PNR0210;29.08.2022 00:00;12.04.2023;EW585;2;290;44,,
PNR0211;29.08.2022 00:00;08.04.2023;EW9585;4;306;144,,
PNR0212;29.08.2022 00:00;10.04.2023;EW592;3;210;123,,
PNR0213;29.08.2022 00:00;06.04.2023;EW7526;2;210;130,,
PNR0214;29.08.2022 00:00;11.04.2023;EW9542;6;522;350,,
PNR0215;29.08.2022 00:00;07.04.2023;EW9558;1;145;46,,
PNR0216;29.08.2022 00:00;07.04.2023;EW9558;1;145;46,,
PNR0217;29.08.2022 00:00;07.04.2023;EW7526;1;145;15,,
PNR0217;29.08.2022 00:00;10.04.2023;EW7527;1;245;15,,
PNR0218;29.08.2022 00:00;07.04.2023;EW9538;2;430;88,,
PNR0218;29.08.2022 00:00;10.04.2023;EW9539;2;430;88,,
PNR0219;29.08.2022 00:00;06.04.2023;EW7520;2;300;110,,
PNR0219;29.08.2022 00:00;11.04.2023;EW7521;2;300;96,,
PNR0220;29.08.2022 00:00;09.04.2023;EW9442;1;130;26,,
PNR0221;30.08.2022 00:00;07.04.2023;EW580;2;290;90,,
PNR0222;30.08.2022 00:00;09.04.2023;EW9501;6;1260;234,,
PNR0223;30.08.2022 00:00;08.04.2023;EW9588;2;190;110,,
PNR0224;30.08.2022 00:00;07.04.2023;EW9575;2;150;82,,
PNR0225;30.08.2022 00:00;08.04.2023;EW9594;3;285;138,,
PNR0226;30.08.2022 00:00;12.04.2023;EW268;2;250;88,,
PNR0227;30.08.2022 00:00;10.04.2023;EW9552;2;250;110,,
PNR0228;30.08.2022 00:00;11.04.2023;EW9539;4;680;176,,
PNR0229;30.08.2022 00:00;12.04.2023;EW9570;2;170;112,,
PNR0230;31.08.2022 00:00;10.04.2023;EW9588;4;234;68,,
PNR0231;31.08.2022 00:00;07.04.2023;EW580;2;290;106,,
PNR0232;31.08.2022 00:00;09.04.2023;EW583;2;190;82,,
PNR0233;31.08.2022 00:00;06.04.2023;EW9574;2;350;99,,
PNR0234;31.08.2022 00:00;07.04.2023;EW9594;3;435;165,,
PNR0235;31.08.2022 00:00;06.04.2023;EW9592;2;290;44,,
PNR0235;31.08.2022 00:00;10.04.2023;EW9593;2;350;44,,
PNR0236;31.08.2022 00:00;07.04.2023;EW252;4;594;238,,
PNR0237;31.08.2022 00:00;10.04.2023;EW9539;3;430;190,,
PNR0238;31.08.2022 00:00;10.04.2023;EW9519;1;70;44,,
PNR0239;31.08.2022 00:00;12.04.2023;EW9534;1;42;10,,
PNR0240;31.08.2022 00:00;07.04.2023;EW9537;3;200;143,,
PNR0241;31.08.2022 00:00;10.04.2023;EW9535;5;1127;188,,
PNR0242;31.08.2022 00:00;07.04.2023;EW9444;5;650;200,,
PNR0242;31.08.2022 00:00;11.04.2023;EW9443;5;850;200,,
PNR0243;31.08.2022 00:00;07.04.2023;EW9530;2;730;16,,
PNR0244;31.08.2022 00:00;12.04.2023;EW9534;1;42;10,,
PNR0245;31.08.2022 00:00;10.04.2023;EW9539;3;645;138,,
PNR0246;31.08.2022 00:00;08.04.2023;EW580;2;234;85,,
PNR0247;01.09.2022 00:00;08.04.2023;EW593;6;462;329,,
PNR0248;01.09.2022 00:00;12.04.2023;EW9559;3;812;129,,
PNR0249;01.09.2022 00:00;08.04.2023;EW9553;3;455;165,,
PNR0250;01.09.2022 00:00;08.04.2023;EW7526;2;225;148,,
PNR0251;01.09.2022 00:00;09.04.2023;EW8290;2;270;182,,
PNR0252;01.09.2022 00:00;12.04.2023;EW9559;6;1740;324,,
PNR0253;01.09.2022 00:00;07.04.2023;EW9558;4;551;255,,
PNR0254;01.09.2022 00:00;11.04.2023;EW9442;1;130;26,,
PNR0255;;;;;;,,
PNR0256;02.09.2022 00:00;10.04.2023;EW9593;1;210;20,,
PNR0257;02.09.2022 00:00;06.04.2023;EW9584;1;125;22,,
PNR0258;02.09.2022 00:00;06.04.2023;EW9555;2;290;88,,
PNR0259;02.09.2022 00:00;10.04.2023;EW243;2;390;112,,
PNR0260;02.09.2022 00:00;08.04.2023;EW9552;3;406;159,,
PNR0261;02.09.2022 00:00;08.04.2023;EW9553;1;180;14,,
PNR0262;02.09.2022 00:00;11.04.2023;EW7532;3;518;126,,
PNR0263;02.09.2022 00:00;08.04.2023;EW9552;1;145;56,,
PNR0264;02.09.2022 00:00;11.04.2023;EW9442;3;308;106,,
PNR0265;03.09.2022 00:00;06.04.2023;EW9590;4;522;88,,
PNR0266;03.09.2022 00:00;12.04.2023;EW9581;4;551;223,,
PNR0267;03.09.2022 00:00;12.04.2023;EW9594;1;65;86,,
PNR0268;03.09.2022 00:00;08.04.2023;EW9586;4;270;12,,
PNR0269;03.09.2022 00:00;08.04.2023;EW580;7;665;399,,
PNR0270;03.09.2022 00:00;12.04.2023;EW9595;1;145;20,,
PNR0271;03.09.2022 00:00;11.04.2023;EW9555;2;490;118,,
PNR0272;03.09.2022 00:00;07.04.2023;EW2536;2;410;112,,
PNR0273;03.09.2022 00:00;12.04.2023;EW9535;2;340;86,,
PNR0274;04.09.2022 00:00;08.04.2023;EW581;2;210;106,,
PNR0275;04.09.2022 00:00;09.04.2023;EW587;4;450;179,,
PNR0276;04.09.2022 00:00;07.04.2023;EW9594;1;175;55,,
PNR0277;04.09.2022 00:00;08.04.2023;EW581;3;54;30,,
PNR0278;04.09.2022 00:00;08.04.2023;EW9574;4;361;255,,
PNR0279;04.09.2022 00:00;06.04.2023;EW6899;2;350;44,,
PNR0280;04.09.2022 00:00;06.04.2023;EW9574;3;290;196,,
PNR0280;04.09.2022 00:00;11.04.2023;EW9595;3;290;196,,
PNR0281;04.09.2022 00:00;11.04.2023;EW581;1;210;22,,
PNR0282;04.09.2022 00:00;09.04.2023;EW591;2;189;73,,
PNR0283;04.09.2022 00:00;06.04.2023;EW9554;1;145;49,,
PNR0284;04.09.2022 00:00;09.04.2023;EW7533;2;740;112,,
PNR0285;04.09.2022 00:00;06.04.2023;EW7533;2;310;88,,
PNR0286;04.09.2022 00:00;10.04.2023;EW243;5;936;226,,
PNR0287;04.09.2022 00:00;06.04.2023;EW2521;3;255;57,,
PNR0288;05.09.2022 00:00;12.04.2023;EW593;1;105;55,,
PNR0289;05.09.2022 00:00;06.04.2023;EW582;3;406;132,,
PNR0290;05.09.2022 00:00;06.04.2023;EW582;1;145;55,,
PNR0290;05.09.2022 00:00;12.04.2023;EW593;1;105;55,,
PNR0291;05.09.2022 00:00;07.04.2023;EW588;1;105;111,,
PNR0292;05.09.2022 00:00;12.04.2023;EW9589;2;210;52,,
PNR0293;05.09.2022 00:00;10.04.2023;EW9593;2;350;22,,
PNR0294;05.09.2022 00:00;10.04.2023;EW7580;4;320;236,,
PNR0295;05.09.2022 00:00;11.04.2023;EW2931;6;1107;234,,
PNR0296;05.09.2022 00:00;10.04.2023;EW7526;1;105;51,,
PNR0297;05.09.2022 00:00;12.04.2023;EW8186;2;250;125,,
PNR0298;05.09.2022 00:00;11.04.2023;EW9543;4;882;166,,
PNR0299;05.09.2022 00:00;08.04.2023;EW7540;2;261;30,,
PNR0300;05.09.2022 00:00;07.04.2023;EW9535;3;160;218,,
PNR0301;05.09.2022 00:00;11.04.2023;EW9443;2;630;46,,
PNR0302;06.09.2022 00:00;06.04.2023;EW9594;6;870;342,,
PNR0302;06.09.2022 00:00;10.04.2023;EW9579;6;870;342,,
PNR0303;06.09.2022 00:00;06.04.2023;EW9590;2;290;58,,
PNR0303;06.09.2022 00:00;11.04.2023;EW9591;2;290;58,,
PNR0304;06.09.2022 00:00;07.04.2023;EW9587;2;130;126,,
PNR0305;06.09.2022 00:00;12.04.2023;EW7583;1;70;55,,
PNR0306;06.09.2022 00:00;06.04.2023;EW7586;3;338;121,,
PNR0306;06.09.2022 00:00;11.04.2023;EW7587;3;481;121,,
PNR0307;06.09.2022 00:00;08.04.2023;EW9595;3;273;144,,
PNR0308;06.09.2022 00:00;06.04.2023;EW7580;1;110;56,,
PNR0309;06.09.2022 00:00;12.04.2023;EW9581;2;500;40,,
PNR0310;06.09.2022 00:00;09.04.2023;EW586;2;250;82,,
PNR0311;06.09.2022 00:00;10.04.2023;EW7590;1;150;63,,
PNR0312;06.09.2022 00:00;06.04.2023;EW7580;1;110;45,,
PNR0313;06.09.2022 00:00;07.04.2023;EW9578;4;551;260,,
PNR0314;06.09.2022 00:00;07.04.2023;EW7267;4;980;232,,
PNR0315;06.09.2022 00:00;11.04.2023;EW7088;1;205;46,,
PNR0316;06.09.2022 00:00;06.04.2023;EW2247;4;525;56,,
PNR0317;06.09.2022 00:00;10.04.2023;EW9534;1;100;36,,
PNR0318;06.09.2022 00:00;09.04.2023;EW2537;4;440;64,,
PNR0319;06.09.2022 00:00;07.04.2023;EW2516;6;486;144,,
PNR0320;06.09.2022 00:00;11.04.2023;EW7531;2;210;36,,
PNR0321;06.09.2022 00:00;09.04.2023;EW2537;5;528;99,,
PNR0322;06.09.2022 00:00;08.04.2023;EW9539;4;468;128,,
PNR0323;07.09.2022 00:00;08.04.2023;EW9585;2;170;106,,
PNR0324;07.09.2022 00:00;08.04.2023;EW9588;1;105;53,,
PNR0325;07.09.2022 00:00;12.04.2023;EW9589;4;378;147,,
PNR0326;07.09.2022 00:00;09.04.2023;EW593;1;125;48,,
PNR0327;07.09.2022 00:00;09.04.2023;EW9575;4;450;211,,
PNR0328;07.09.2022 00:00;09.04.2023;EW9575;4;450;211,,
PNR0329;07.09.2022 00:00;09.04.2023;EW593;1;125;118,,
PNR0330;07.09.2022 00:00;06.04.2023;EW7592;1;150;42,,
PNR0331;07.09.2022 00:00;09.04.2023;EW593;3;350;159,,
PNR0332;07.09.2022 00:00;12.04.2023;EW2534;2;215;208,,
PNR0333;07.09.2022 00:00;09.04.2023;EW2537;3;420;90,,
PNR0334;07.09.2022 00:00;07.04.2023;EW9530;2;160;16,,
PNR0335;07.09.2022 00:00;09.04.2023;EW2537;2;280;102,,
PNR0336;08.09.2022 00:00;07.04.2023;EW580;1;145;47,,
PNR0336;08.09.2022 00:00;11.04.2023;EW599;1;125;42,,
PNR0337;08.09.2022 00:00;11.04.2023;EW7587;2;370;108,,
PNR0338;08.09.2022 00:00;08.04.2023;EW9586;2;150;26,,
PNR0339;08.09.2022 00:00;06.04.2023;EW7580;2;220;102,,
PNR0340;08.09.2022 00:00;07.04.2023;EW9501;1;65;46,,
PNR0341;08.09.2022 00:00;11.04.2023;EW7586;2;220;82,,
PNR0342;08.09.2022 00:00;09.04.2023;EW9543;1;245;48,,
PNR0343;08.09.2022 00:00;06.04.2023;EW7526;1;125;45,,
PNR0344;08.09.2022 00:00;06.04.2023;EW7526;4;420;188,,
PNR0345;08.09.2022 00:00;06.04.2023;EW7526;2;250;90,,
PNR0346;08.09.2022 00:00;06.04.2023;EW9543;2;290;194,,
PNR0347;08.09.2022 00:00;07.04.2023;EW9553;6;459;255,,
PNR0348;08.09.2022 00:00;07.04.2023;EW9534;1;123;14,,
PNR0349;08.09.2022 00:00;09.04.2023;EW7536;5;814;170,,
PNR0350;08.09.2022 00:00;10.04.2023;EW580;4;300;104,,
PNR0351;09.09.2022 00:00;12.04.2023;EW7588;1;100;42,,
PNR0352;09.09.2022 00:00;07.04.2023;EW9588;3;435;108,,
PNR0353;09.09.2022 00:00;12.04.2023;EW9594;2;130;110,,
